 ;3;5;7;9;
19;0,9254475;0,2644425;0,274785;0,2631775;
19_2;0,4043325;0,3082725;0,3214325;0,3266775;
20;0,4280175;0,301505;0,357555;0,3384125;
20_1;0,2595675;0,2461225;0,259685;0,2753525;
