 ;3;5;7;9;
19;0,280915;0,255315;0,2909425;0,33456;
19_2;0,3723225;0,323285;0,3329575;0,4301825;
20;0,3304075;0,2880775;0,316115;0,3980825;
20_1;0,2840375;0,24267;0,2937625;0,3278;
