 ;3;5;
3;5,63942;20,55944;0;
4;0,61805;0,40716;0;
5;3,467905;11,35094;0;
6;0,615755;0,45539;0;
7;0,989715;0,900775;0;
8;0,89082;0,870105;0;
9;0,832535;0,797695;0;
10;2,294445;8,139125;0;
11;0,76294;0,754055;0;
12;1,805135;5,876235;0;
13;2,266825;6,632055;0;
14;0,78998;0,819105;0;
15;2,28351;8,04072;0;
16;0,7331;0,743355;0;
