3;3;2,604725;
4;9;0,01678;
5;3;1,38442;
6;7;0,1266675;
7_1;9;0,33346;
7_2;9;0,3627575;
8;5;0,31107;
9;3;0,9197525;
10;9;0,05933;
11_1;3;0,7502125;
11_2;3;1,0703825;
12;5;0,31208;
13;3;1,0710525;
14;7;0,062435;
