 ;2;4;6;8;10;
2;5,28710949999999;6,9937365625;25,3199143125;131,4469569375;682,130484125;
4;5,5014136875;6,28604181249999;17,12084825;77,72246725;383,577609;
6;3,9742034375;4,30884687500001;9,71105568750001;42,7771123749999;217,3869195625;
8;3,93290112499999;4,1657091875;7,9691059375;31,71483675;158,427887625;
