 ;2;4;6;8;10;
2;6,7973218125;6,48969568750001;15,8215125625;74,6499946250001;369,4261866875;
4;7,5735679375;6,6397186875;11,910342125;45,1925991250001;206,2802515625;
6;3,866477375;3,886283;6,7434790625;25,4596399375;119,42574325;
8;3,8573663125;3,80584568750001;5,75384218749999;19,0628165;86,6534750625;
