 ;2;4;6;8;10;
2;6,73408550000001;6,43388250000001;15,6603665;71,0269762500001;359,07936525;
4;7,483602;6,60534825;11,773091;43,1859965;202,60335475;
6;3,803139;3,856242;6,69173275;24,1021315;115,871788;
8;3,797222;3,7632655;5,71190625;18,20123225;84,49767475;
